lo_Hz,if_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,measured_freq_Hz,freq_error_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
5550000000.0,1460000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,7010000000.0,7009999020.0,-980.0,-19.706645224736484,0.0,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,spur,1,4,-1,1*LO - 4*IF,290000000.0,289996190.0,-3810.0,-104.23628736182141,-84.52964213708492,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,spur,1,3,-1,1*LO - 3*IF,1170000000.0,1170002870.0,2870.0,-85.93931935005801,-66.23267412532152,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,IF_leak,0,1,1,0*LO + 1*IF,1460000000.0,1459999040.0,-960.0,-56.19979664340246,-36.493151418665974,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,spur,1,5,-1,1*LO - 5*IF,1750000000.0,1750397156.0,397156.0,-115.14531086408604,-95.43866563934955,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,spur,1,2,-1,1*LO - 2*IF,2630000000.0,2630001910.0,1910.0,-69.006369510409,-49.29972428567252,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,IF_harmonic,0,2,1,0*LO + 2*IF,2920000000.0,2919998070.0,-1930.0,-89.7602019478991,-70.05355672316261,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,spur,2,5,-1,2*LO - 5*IF,3800000000.0,3800254887.0,254887.0,-115.71899387205376,-96.01234864731728,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,image,1,1,-1,1*LO - 1*IF,4090000000.0,4090000940.0,940.0,-19.384803047672442,0.32184217706404183,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,IF_harmonic,0,3,1,0*LO + 3*IF,4380000000.0,4379997110.0,-2890.0,-104.6531509912768,-84.94650576654033,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,spur,2,4,-1,2*LO - 4*IF,5260000000.0,5260390526.0,390526.0,-117.71067391591366,-98.00402869117718,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,LO_leak,1,0,1,1*LO + 0*IF,5550000000.0,5549999980.0,-20.0,-37.97033341427848,-18.263688189541995,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,5840000000.0,5839540015.0,-459985.0,-117.10088735800915,-97.39424213327266,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1460000000.0,lo+if,spur,2,3,-1,2*LO - 3*IF,6720000000.0,6720002870.0,2870.0,-103.98735488881456,-84.28070966407807,0,1000000.0,1000.0,,10,peak,peak,
