lo2_hz,lo2_ghz,severity_rank,if1_hz,if1_mhz,worst_tone_freq_hz,worst_tone_freq_ghz,worst_tone_level_dbc,margin_to_spec_db,coincident,coincident_with_carrier_bin,has_unknown_contributors,unknown_contributors_count,unknown_combining_mode,spur_type,spur_type_raw,top_origin,top_stage_path,top_dataset_id,top_kind,top_expression,top_m,top_n,top_sign,top_dbc,top_lineage_row_indices
21000000000.0,21.0,1,1610000000.0,1610.0,27680000000.0,27.68,-55.02085553658874,-4.979144463411259,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.02085553658874,266
21000000000.0,21.0,2,1620000000.0,1620.0,27660000000.0,27.66,-55.02500793119977,-4.974992068800233,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.02500793119976,"266,272"
21000000000.0,21.0,3,1630000000.0,1630.0,27640000000.0,27.64,-55.14831419294383,-4.851685807056171,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.14831419294383,"272,278"
21000000000.0,21.0,4,1600000000.0,1600.0,27700000000.0,27.7,-55.188039176577206,-4.811960823422794,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.188039176577206,"260,266"
21000000000.0,21.0,5,1870000000.0,1870.0,27160000000.0,27.16,-55.32161532303909,-4.67838467696091,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.32161532303909,"368,374"
21000000000.0,21.0,6,1880000000.0,1880.0,27140000000.0,27.14,-55.323714915120604,-4.676285084879396,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.32371491512061,374
21000000000.0,21.0,7,1640000000.0,1640.0,27620000000.0,27.62,-55.39077432182094,-4.609225678179058,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.39077432182094,278
21000000000.0,21.0,8,1860000000.0,1860.0,27180000000.0,27.18,-55.39612149465901,-4.603878505340987,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.396121494659006,"362,368"
21000000000.0,21.0,9,1590000000.0,1590.0,27720000000.0,27.72,-55.466175241286294,-4.533824758713706,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.466175241286294,"254,260"
21000000000.0,21.0,10,1850000000.0,1850.0,27200000000.0,27.2,-55.54723342998037,-4.452766570019627,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.54723342998037,362
21000000000.0,21.0,11,1890000000.0,1890.0,27120000000.0,27.12,-55.54793205868633,-4.452067941313672,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.54793205868632,"374,380"
21000000000.0,21.0,12,1840000000.0,1840.0,27220000000.0,27.22,-55.75979228372355,-4.240207716276451,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.75979228372355,"356,362"
21000000000.0,21.0,13,1580000000.0,1580.0,27740000000.0,27.74,-55.85526373071601,-4.144736269283989,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.85526373071601,254
21000000000.0,21.0,14,1900000000.0,1900.0,27100000000.0,27.1,-55.87012951360813,-4.129870486391873,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.87012951360813,"380,386"
21000000000.0,21.0,15,1650000000.0,1650.0,27600000000.0,27.6,-55.8782682273017,-4.121731772698297,True,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.87827139675509,"278,284"
21000000000.0,21.0,16,1340000000.0,1340.0,28220000000.0,28.22,-55.903890492782736,-4.096109507217264,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.90389049278274,158
21000000000.0,21.0,17,1480000000.0,1480.0,27940000000.0,27.94,-55.911911045097995,-4.088088954902005,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.911911045097995,"212,218"
21000000000.0,21.0,18,1330000000.0,1330.0,28240000000.0,28.24,-55.912879833152516,-4.087120166847484,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.912879833152516,"152,158"
21000000000.0,21.0,19,1470000000.0,1470.0,27960000000.0,27.96,-55.97486369693948,-4.0251363030605205,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.97486369693948,"206,212"
21000000000.0,21.0,20,1830000000.0,1830.0,27240000000.0,27.24,-55.98210165572874,-4.017898344271259,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-55.98210165572874,"350,356"
21000000000.0,21.0,21,1350000000.0,1350.0,28200000000.0,28.2,-56.019092886432304,-3.980907113567696,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.019092886432304,"158,164"
21000000000.0,21.0,22,1320000000.0,1320.0,28260000000.0,28.26,-56.03788512458014,-3.962114875419857,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.03788512458014,"146,152"
21000000000.0,21.0,23,1490000000.0,1490.0,27920000000.0,27.92,-56.063810065673735,-3.936189934326265,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.06381006567373,218
21000000000.0,21.0,24,2360000000.0,2360.0,27380000000.0,27.38,-56.071105006445904,-3.9288949935540955,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.071105006445904,757
21000000000.0,21.0,25,1360000000.0,1360.0,28180000000.0,28.18,-56.1515448794069,-3.8484551205931012,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.1515448794069,"164,170"
21000000000.0,21.0,26,1750000000.0,1750.0,27400000000.0,27.4,-56.20016499749501,-3.7998350025049916,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.20016499749501,"320,326"
21000000000.0,21.0,27,1740000000.0,1740.0,27420000000.0,27.42,-56.20412443794404,-3.7958755620559614,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.20412443794404,"314,320"
21000000000.0,21.0,28,1820000000.0,1820.0,27260000000.0,27.26,-56.21416154599593,-3.7858384540040717,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.21416154599593,350
21000000000.0,21.0,29,1500000000.0,1500.0,27900000000.0,27.9,-56.23312465379156,-3.766875346208437,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.233124653791556,"218,224"
21000000000.0,21.0,30,1390000000.0,1390.0,28120000000.0,28.12,-56.23952806494564,-3.760471935054362,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.23952806494564,"176,182"
21000000000.0,21.0,31,1120000000.0,1120.0,28660000000.0,28.66,-56.24019526360003,-3.759804736399971,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.24019526360003,"68,74"
21000000000.0,21.0,32,1110000000.0,1110.0,28680000000.0,28.68,-56.246898922445666,-3.7531010775543336,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.246898922445666,"62,68"
21000000000.0,21.0,33,1380000000.0,1380.0,28140000000.0,28.14,-56.248175211008714,-3.7518247889912857,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.24817521100871,"170,176"
21000000000.0,21.0,34,1130000000.0,1130.0,28640000000.0,28.64,-56.251806816447726,-3.7481931835522744,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.251806816447726,74
21000000000.0,21.0,35,1460000000.0,1460.0,27980000000.0,27.98,-56.252668021198176,-3.7473319788018244,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.252668021198176,206
21000000000.0,21.0,36,1100000000.0,1100.0,28700000000.0,28.7,-56.271917792984645,-3.7280822070153548,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.271917792984645,62
21000000000.0,21.0,37,1400000000.0,1400.0,28100000000.0,28.1,-56.27530503351733,-3.724694966482673,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.27530503351733,182
21000000000.0,21.0,38,1760000000.0,1760.0,27380000000.0,27.38,-56.27754533985362,-3.722454660146383,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.27754533985362,326
21000000000.0,21.0,39,1310000000.0,1310.0,28280000000.0,28.28,-56.27890636706561,-3.721093632934391,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.27890636706561,146
21000000000.0,21.0,40,2370000000.0,2370.0,27360000000.0,27.36,-56.28068603329696,-3.719313966703041,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.28068603329696,"757,764"
21000000000.0,21.0,41,1730000000.0,1730.0,27440000000.0,27.44,-56.2894236612007,-3.7105763387992994,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.2894236612007,314
21000000000.0,21.0,42,1570000000.0,1570.0,27760000000.0,27.76,-56.29922726755278,-3.70077273244722,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.29922726755278,"248,254"
21000000000.0,21.0,43,1370000000.0,1370.0,28160000000.0,28.16,-56.30124647170653,-3.698753528293473,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-56.30124647170653,170
